"Directory","FileCount","ProposedAuthority","ExecutionStatus","Reason","ProposedActions","RiskLevels","TargetZones","ExampleFiles","HumanDecision","HumanNotes"
"C:\Users\mylab\OneDrive\AI-OS-Project\logo.icons","5","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","MOVE_CANDIDATE_BRANDING","LOW","BRANDING_ASSETS","aios_circle_512.png | aios_node_logo_v2.svg | aios_square_vs_circle.svg | files.zip | index.html","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\_REVIEW\Desktop_Ai_Os_Stale","5","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","app.py | deploy.zip | download.jpg | project.manifest.json | staticwebapp.config.json","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\daily-progress\daily progress","5","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","REVIEW_FOR_CANONICAL_DOCS | DELETE_CANDIDATE_AFTER_BACKUP","MEDIUM | LOW","ACTIVE_PROJECT_ROOT | WINDOWS_METADATA","AAR_AI_OS_Consolidation_2026-05-02.md | AI-OS_EOD_PROGRESS_LOG.csv.xlsx | AI-OS_EOD_PROGRESS_LOG.xlsx | AlgoTradez_Progress_Apr28_2026.csv | desktop.ini","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026","4","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","KEEP_READ_ONLY_ARCHIVE | DELETE_CANDIDATE_AFTER_BACKUP","MEDIUM | LOW","BACKUP_ARCHIVE | WINDOWS_METADATA","AI-OS_PROJECT_PARAMETERS.csv | AI-OS_PROJECT_TASKS.csv | desktop.ini | files.zip","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\logo.icons\files","4","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","MOVE_CANDIDATE_BRANDING","LOW","BRANDING_ASSETS","aios_circle_512.png | aios_logo_512.png | apple-touch-icon.png | favicon.ico","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\WEEK 1","4","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","AlgoTradez_DailyProgress_2026-05-02.csv | AlgoTradez_DailyProgress_2026-05-02.xlsx | AlgoTradez_DailyReport_2026-05-01.csv | AlgoTradez_Session_Log_2026-04-30-1.xlsx","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop","4","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","MOVE_CANDIDATE_TO_AI_OS_PROJECT | KEEP_OR_RECREATE_SHORTCUT_LATER","MEDIUM | LOW","DESKTOP_LOOSE_AI_OS | DESKTOP_SHORTCUTS","ai-os Incident Report.txt | AI-OS_MORNING_EXECUTION_PACKET.md - Shortcut.lnk | AlgoTradez    AI-OS.lnk | Deploy AI-OS.lnk","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src","4","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","REVIEW_DUPLICATE_WORKING_COPY","MEDIUM","DESKTOP_WORKING_COPY","App.css | App.jsx | index.css | main.jsx","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN","4","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_AS_GITHUB_WORKING_REPO","LOW","GITHUB_REPO_CLEAN",".gitignore | AGENTS.md | project.manifest.json | README.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\services\orchestrator","4","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","index.js | package.json | package-lock.json | README.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\backtest_results\Reports\may 2026\WEEK 1","4","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","REVIEW_FOR_CANONICAL_DOCS","MEDIUM","ACTIVE_PROJECT_ROOT","AlgoTradez_DailyProgress_2026-05-02.csv | AlgoTradez_DailyProgress_2026-05-02.xlsx | AlgoTradez_DailyReport_2026-05-01.csv | AlgoTradez_Session_Log_2026-04-30-1.xlsx","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\apps\dashboard\src","4","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_AS_GITHUB_WORKING_REPO","LOW","GITHUB_REPO_CLEAN","App.css | App.jsx | index.css | main.jsx","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\services\orchestrator","4","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_AS_GITHUB_WORKING_REPO","LOW","GITHUB_REPO_CLEAN","index.js | package.json | package-lock.json | README.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\apps\dashboard\src","4","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","App.css | App.jsx | index.css | main.jsx","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\docs\specs","3","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_AS_GITHUB_WORKING_REPO","LOW","GITHUB_REPO_CLEAN","api-contract.md | automation-pipeline.md | ui-spec.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\apps\dashboard\src\assets","3","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_AS_GITHUB_WORKING_REPO","LOW","GITHUB_REPO_CLEAN","hero.png | react.svg | vite.svg","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\bot","3","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","REVIEW_DUPLICATE_WORKING_COPY","MEDIUM","DESKTOP_WORKING_COPY","config.py | main.py | webhook.py","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\docs","3","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_AS_GITHUB_WORKING_REPO","LOW","GITHUB_REPO_CLEAN","AI_OS_White_Paper.md | AI-OS_MASTER_GUIDELINES.md | White_Paper.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\docs\specs","3","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","REVIEW_DUPLICATE_WORKING_COPY","MEDIUM","DESKTOP_WORKING_COPY","api-contract.md | automation-pipeline.md | ui-spec.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\Reports\daily","3","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","AI_OS_LOCAL_INVENTORY_2026-05-04.txt | CODEX_REPO_MISMATCH_2026-05-04.md | GITHUB_REPO_INVENTORY_2026-05-04.txt","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\docs\specs","3","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","api-contract.md | automation-pipeline.md | ui-spec.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\docs","3","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","AI_OS_White_Paper.md | AI-OS_MASTER_GUIDELINES.md | White_Paper.md","PENDING_REVIEW",""
"C:\Users\mylab\Downloads","3","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","MOVE_CANDIDATE_TO_INBOX","LOW","DOWNLOADS_AI_OS","AlgoTradez_AI-OS_Roadmap.csv | AlgoTradez_AI-OS_Roadmap_1.csv | whitepaper.pdf","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\apps\dashboard\src\assets","3","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","hero.png | react.svg | vite.svg","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\Ai_Os Node\HTML","3","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","KEEP_READ_ONLY_ARCHIVE | DELETE_CANDIDATE_AFTER_BACKUP","MEDIUM | LOW","BACKUP_ARCHIVE | WINDOWS_METADATA","dashboard.html | desktop.ini | README.html","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\Yubikey","3","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","Yubico demo website.txt | Yubikey Documents.adoc | yubikit.txt","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src\assets","3","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","REVIEW_DUPLICATE_WORKING_COPY","MEDIUM","DESKTOP_WORKING_COPY","hero.png | react.svg | vite.svg","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\Ai_Os Node\HTML","3","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","KEEP_ACTIVE_PROJECT_FILE | DELETE_CANDIDATE_AFTER_BACKUP","MEDIUM | LOW","ACTIVE_PROJECT_ROOT | WINDOWS_METADATA","dashboard.html | desktop.ini | README.html","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\policies","3","ACTIVE_AI_OS_CONTROL_TREE","KEEP_NO_ACTION","Inside controlled docs\AI_OS tree.","KEEP_ACTIVE_DOCS","LOW","AI_OS_DOCS","CHECKPOINT_AND_STAGE_COMPLETION_RULES.txt | DATA_INTEGRITY_AND_CORRUPTION_PREVENTION_RULES.txt | HALLUCINATION_PREVENTION_RULES.txt","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\Postmortem","2","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","AlgoTradez_IncidentReport_2026-05-01.csv | CONFUSION(APPS GONE)WORNG ORDER.txt","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\fixes_changes","2","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","REVIEW_FOR_CANONICAL_DOCS","MEDIUM","ACTIVE_PROJECT_ROOT","DASHBOARD_FIXES.md | May 3, 2026 0545.txt","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\control","2","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","KEEP_READ_ONLY_ARCHIVE | DELETE_CANDIDATE_AFTER_BACKUP","MEDIUM | LOW","BACKUP_ARCHIVE | WINDOWS_METADATA","AI-OS_MORNING_EXECUTION_PACKET.md | desktop.ini","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\backtest_results\Reports\may 2026\Postmortem","2","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","REVIEW_FOR_CANONICAL_DOCS","MEDIUM","ACTIVE_PROJECT_ROOT","AlgoTradez_IncidentReport_2026-05-01.csv | CONFUSION(APPS GONE)WORNG ORDER.txt","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\DAILY_CONTEXT_PACK","2","ACTIVE_AI_OS_CONTROL_TREE","KEEP_NO_ACTION","Inside controlled docs\AI_OS tree.","KEEP_ACTIVE_DOCS","LOW","AI_OS_DOCS","00_AI_OS_DAILY_CONTEXT_PROMPT.txt | README_DAILY_CONTEXT_PACK_USE_CASE.txt","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\apps\dashboard\public","2","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_AS_GITHUB_WORKING_REPO","LOW","GITHUB_REPO_CLEAN","favicon.svg | icons.svg","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\control","2","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","REVIEW_FOR_CANONICAL_DOCS | DELETE_CANDIDATE_AFTER_BACKUP","MEDIUM | LOW","ACTIVE_PROJECT_ROOT | WINDOWS_METADATA","AI-OS_MORNING_EXECUTION_PACKET.md | desktop.ini","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\internal\source-artifacts\pdf","2","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","READme.pdf | whitepaper.pdf","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\inputs","2","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","README.md | whitepaper.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\internal\source-artifacts\pdf","2","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","REVIEW_DUPLICATE_WORKING_COPY","MEDIUM","DESKTOP_WORKING_COPY","READme.pdf | whitepaper.pdf","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\inputs","2","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","REVIEW_DUPLICATE_WORKING_COPY","MEDIUM","DESKTOP_WORKING_COPY","README.md | whitepaper.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\Ai_Os","2","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","REVIEW_DUPLICATE_WORKING_COPY | DELETE_CANDIDATE_AFTER_BACKUP","MEDIUM | LOW","DESKTOP_WORKING_COPY | WINDOWS_METADATA","deploy.zip | desktop.ini","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\public","2","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","REVIEW_DUPLICATE_WORKING_COPY","MEDIUM","DESKTOP_WORKING_COPY","favicon.svg | icons.svg","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\inputs","2","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_AS_GITHUB_WORKING_REPO","LOW","GITHUB_REPO_CLEAN","README.md | whitepaper.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\apps\dashboard\public","2","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","favicon.svg | icons.svg","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\internal\source-artifacts\pdf","2","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_AS_GITHUB_WORKING_REPO","LOW","GITHUB_REPO_CLEAN","READme.pdf | whitepaper.pdf","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\internal\source-artifacts\txt","1","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","folderUse.txt","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\AI-OS-Project\daily-progress","1","REVIEW_REQUIRED","BLOCK_EXECUTION","Needs human review before any action.","DELETE_CANDIDATE_AFTER_BACKUP","LOW","WINDOWS_METADATA","desktop.ini","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\AAR","1","DUPLICATE_WORKING_COPY_REVIEW","BLOCK_UNTIL_DUPLICATE_REVIEW","Looks like desktop or parallel AI_OS working copy.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","AAR_AI_OS_Consolidation_2026-05-02.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\docs\AI_OS","1","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","AGENTS.md","PENDING_REVIEW",""
"C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\docs\AI_OS\architecture","1","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","SYSTEM_LEVEL_AI_WIZARDS.md","PENDING_REVIEW",""
