"HumanDecision","AllowedDecisions","SourceStage","ItemPath","ProposedAction","ExecutionStatus","Reason","HumanNotes"
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\Ai_Os\inputs","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\Ai_Os","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\public","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\AAR","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\SITREP","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backups","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\daily-progress\AAR","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\control\MarkDown","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\control\EOD prompt","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\Ai_Os\internal\source-artifacts\txt","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\Ai_Os\agent\runtime","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\Ai_Os\automation\pipeline","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\Ai_Os\.azure","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1\templates","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\FIxesChanges","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\docs\SITREP","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\scripts","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1\.azure","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_ARCHIVE_AFTER_BACKUP | BLOCK | NEEDS_MORE_EVIDENCE","Stage19_DuplicateResolution","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\scripts\Deployable PS1","NEEDS_MORE_EVIDENCE","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed.",""
"HOLD","HOLD | KEEP | APPROVE_AS_ARCHIVE | BLOCK | NEEDS_MORE_EVIDENCE","Stage20_ArchiveCandidateReview","C:\Users\mylab\OneDrive\AI-OS-Project\backups","ARCHIVE_CANDIDATE_REVIEW","BLOCK_UNTIL_ARCHIVE_APPROVAL","Archive/backup candidate. No action until manually approved.",""
