"Decision","AllowedDecisions","Name","FullPath","ProposedAction","TargetZone","ProposedTargetPath","RiskLevel","Reason","HumanNotes"
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AlgoTradez_AI-OS_Roadmap.csv","C:\Users\mylab\Downloads\AlgoTradez_AI-OS_Roadmap.csv","MOVE_CANDIDATE_TO_INBOX","DOWNLOADS_AI_OS","C:\Users\mylab\OneDrive\AI-OS-Project\_INBOX\downloads_import_review","LOW","Downloaded AI_OS reference file. Place in inbox/review before canonizing.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AlgoTradez_DailyReport_2026-05-01.csv","C:\Users\mylab\OneDrive\AI-OS-Project\backtest_results\Reports\may 2026\WEEK 1\AlgoTradez_DailyReport_2026-05-01.csv","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AlgoTradez_Session_Log_2026-04-30-1.xlsx","C:\Users\mylab\OneDrive\AI-OS-Project\backtest_results\Reports\may 2026\WEEK 1\AlgoTradez_Session_Log_2026-04-30-1.xlsx","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","CODEX_TASK.txt","C:\Users\mylab\OneDrive\AI-OS-Project\CODEX_TASK.txt","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AAR_AI_OS_Consolidation_2026-05-02.md","C:\Users\mylab\OneDrive\AI-OS-Project\control\AAR\AAR_AI_OS_Consolidation_2026-05-02.md","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AI-OS_MORNING_EXECUTION_PACKET.md","C:\Users\mylab\OneDrive\AI-OS-Project\control\AI-OS_MORNING_EXECUTION_PACKET.md","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","desktop.ini","C:\Users\mylab\OneDrive\AI-OS-Project\control\desktop.ini","DELETE_CANDIDATE_AFTER_BACKUP","WINDOWS_METADATA","","LOW","Windows folder view metadata. Not project source-of-truth.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AI-OS_EOD_PROMPT.md","C:\Users\mylab\OneDrive\AI-OS-Project\control\EOD prompt\AI-OS_EOD_PROMPT.md","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","README[5.2.26].md","C:\Users\mylab\OneDrive\AI-OS-Project\control\MarkDown\README[5.2.26].md","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AAR_AI_OS_Consolidation_2026-05-02.md","C:\Users\mylab\OneDrive\AI-OS-Project\daily-progress\daily progress\AAR_AI_OS_Consolidation_2026-05-02.md","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AI-OS_EOD_PROGRESS_LOG.csv.xlsx","C:\Users\mylab\OneDrive\AI-OS-Project\daily-progress\daily progress\AI-OS_EOD_PROGRESS_LOG.csv.xlsx","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AI-OS_EOD_PROGRESS_LOG.xlsx","C:\Users\mylab\OneDrive\AI-OS-Project\daily-progress\daily progress\AI-OS_EOD_PROGRESS_LOG.xlsx","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AlgoTradez_Progress_Apr28_2026.csv","C:\Users\mylab\OneDrive\AI-OS-Project\daily-progress\daily progress\AlgoTradez_Progress_Apr28_2026.csv","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","desktop.ini","C:\Users\mylab\OneDrive\AI-OS-Project\daily-progress\daily progress\desktop.ini","DELETE_CANDIDATE_AFTER_BACKUP","WINDOWS_METADATA","","LOW","Windows folder view metadata. Not project source-of-truth.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","desktop.ini","C:\Users\mylab\OneDrive\AI-OS-Project\daily-progress\desktop.ini","DELETE_CANDIDATE_AFTER_BACKUP","WINDOWS_METADATA","","LOW","Windows folder view metadata. Not project source-of-truth.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","desktop.ini","C:\Users\mylab\OneDrive\AI-OS-Project\desktop.ini","DELETE_CANDIDATE_AFTER_BACKUP","WINDOWS_METADATA","","LOW","Windows folder view metadata. Not project source-of-truth.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","ai_OS_structure.csv","C:\Users\mylab\OneDrive\AI-OS-Project\docs\ai_OS_structure.csv","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AI-OS_MASTER_GUIDELINES.md","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI-OS_MASTER_GUIDELINES.md","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AI-OS_PROJECT_PARAMETERS.csv","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI-OS_PROJECT_PARAMETERS.csv","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AlgoTradez_AI-OS_Roadmap.csv","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AlgoTradez_AI-OS_Roadmap.csv","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","desktop.ini","C:\Users\mylab\OneDrive\AI-OS-Project\docs\desktop.ini","DELETE_CANDIDATE_AFTER_BACKUP","WINDOWS_METADATA","","LOW","Windows folder view metadata. Not project source-of-truth.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","SITREP_AI_OS_Consolidation_2026-05-02.md","C:\Users\mylab\OneDrive\AI-OS-Project\docs\SITREP_AI_OS_Consolidation_2026-05-02.md","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","White_Paper.md","C:\Users\mylab\OneDrive\AI-OS-Project\docs\White_Paper.md","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","DASHBOARD_FIXES.md","C:\Users\mylab\OneDrive\AI-OS-Project\fixes_changes\DASHBOARD_FIXES.md","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","May 3, 2026 0545.txt","C:\Users\mylab\OneDrive\AI-OS-Project\fixes_changes\May 3, 2026 0545.txt","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","aios_circle_512.png","C:\Users\mylab\OneDrive\AI-OS-Project\logo.icons\aios_circle_512.png","MOVE_CANDIDATE_BRANDING","BRANDING_ASSETS","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\branding","LOW","Logo/insignia assets belong in branding layer later.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","aios_node_logo_v2.svg","C:\Users\mylab\OneDrive\AI-OS-Project\logo.icons\aios_node_logo_v2.svg","MOVE_CANDIDATE_BRANDING","BRANDING_ASSETS","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\branding","LOW","Logo/insignia assets belong in branding layer later.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","aios_square_vs_circle.svg","C:\Users\mylab\OneDrive\AI-OS-Project\logo.icons\aios_square_vs_circle.svg","MOVE_CANDIDATE_BRANDING","BRANDING_ASSETS","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\branding","LOW","Logo/insignia assets belong in branding layer later.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","files.zip","C:\Users\mylab\OneDrive\AI-OS-Project\logo.icons\files.zip","MOVE_CANDIDATE_BRANDING","BRANDING_ASSETS","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\branding","LOW","Logo/insignia assets belong in branding layer later.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","aios_circle_512.png","C:\Users\mylab\OneDrive\AI-OS-Project\logo.icons\files\aios_circle_512.png","MOVE_CANDIDATE_BRANDING","BRANDING_ASSETS","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\branding","LOW","Logo/insignia assets belong in branding layer later.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","aios_logo_512.png","C:\Users\mylab\OneDrive\AI-OS-Project\logo.icons\files\aios_logo_512.png","MOVE_CANDIDATE_BRANDING","BRANDING_ASSETS","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\branding","LOW","Logo/insignia assets belong in branding layer later.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","apple-touch-icon.png","C:\Users\mylab\OneDrive\AI-OS-Project\logo.icons\files\apple-touch-icon.png","MOVE_CANDIDATE_BRANDING","BRANDING_ASSETS","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\branding","LOW","Logo/insignia assets belong in branding layer later.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","favicon.ico","C:\Users\mylab\OneDrive\AI-OS-Project\logo.icons\files\favicon.ico","MOVE_CANDIDATE_BRANDING","BRANDING_ASSETS","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\branding","LOW","Logo/insignia assets belong in branding layer later.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","index.html","C:\Users\mylab\OneDrive\AI-OS-Project\logo.icons\index.html","MOVE_CANDIDATE_BRANDING","BRANDING_ASSETS","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\branding","LOW","Logo/insignia assets belong in branding layer later.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AI-OS_PROJECT_TASKS.csv","C:\Users\mylab\OneDrive\AI-OS-Project\Tasks\AI-OS_PROJECT_TASKS.csv","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","config","C:\Users\mylab\OneDrive\AI-OS-Project\TradingEngineV1\.azure\config","KEEP_PRIVATE_DO_NOT_UPLOAD","SECRETS_CONFIG","","HIGH","Contains or may contain environment variables, Azure config, credentials, subscription metadata, or local deployment settings.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK",".env","C:\Users\mylab\OneDrive\AI-OS-Project\TradingEngineV1\.env","KEEP_PRIVATE_DO_NOT_UPLOAD","SECRETS_CONFIG","","HIGH","Contains or may contain environment variables, Azure config, credentials, subscription metadata, or local deployment settings.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","app.py","C:\Users\mylab\OneDrive\AI-OS-Project\TradingEngineV1\app.py","KEEP_ACTIVE_TRADING_ENGINE","TRADING_ENGINE_V1","","HIGH","Active trading-engine skeleton/source. Changes require backup and code review.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","screener.py","C:\Users\mylab\OneDrive\AI-OS-Project\TradingEngineV1\screener.py","KEEP_ACTIVE_TRADING_ENGINE","TRADING_ENGINE_V1","","HIGH","Active trading-engine skeleton/source. Changes require backup and code review.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","dashboard.html","C:\Users\mylab\OneDrive\AI-OS-Project\TradingEngineV1\templates\dashboard.html","KEEP_ACTIVE_TRADING_ENGINE","TRADING_ENGINE_V1","","HIGH","Active trading-engine skeleton/source. Changes require backup and code review.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","config","C:\Users\mylab\OneDrive\Desktop\Ai_Os\.azure\config","KEEP_PRIVATE_DO_NOT_UPLOAD","SECRETS_CONFIG","","HIGH","Contains or may contain environment variables, Azure config, credentials, subscription metadata, or local deployment settings.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","README.md","C:\Users\mylab\OneDrive\Desktop\Ai_Os\agent\runtime\README.md","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK",".gitignore","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\.gitignore","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","eslint.config.js","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\eslint.config.js","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","index.html","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\index.html","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","package.json","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\package.json","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","package-lock.json","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\package-lock.json","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","favicon.svg","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\public\favicon.svg","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","icons.svg","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\public\icons.svg","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","README.md","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\README.md","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
